timestamp,source_id,velocity_x,velocity_y,forcing_magnitude,shih_level,vadzaih_distance,operational_status,diagnostic_seal
70002,88122,0,0,0,0.44,0,4,SHIH_TSAA_TSII_GWIHEE
70005,88122,0,0,0,0.48,0,4,SHIH_TSAA_TSII_GWIHEE
70010,99733,0.013158992212531766,0.012813384775111696,0.025972376987643462,0.933881632933166,0.21603333074895148,0,VADZAIH_AII_GEEHEE_GWIZHIN
70011,99733,0.013056747701303745,0.012911303909250353,0.0259680516105541,0.9177581545740521,0.1841598468691403,0,VADZAIH_AII_GEEHEE_GWIZHIN
70012,99733,0.012954495060915838,0.013009232812632244,0.02596372787354808,0.9016316275337819,0.15210458851080022,0,VADZAIH_AII_GEEHEE_GWIZHIN
70013,99733,0.012852272113318148,0.013107140027170715,0.025959412140488865,0.8855041163597317,0.11986804163848075,0,VADZAIH_AII_GEEHEE_GWIZHIN
70014,99733,0.012750113651622819,0.01320499120728621,0.025955104858909027,0.8693776861430943,0.08745079028725553,0,VADZAIH_AII_GEEHEE_GWIZHIN
70015,99733,0.012648051531706204,0.013302749035269045,0.025950800566975248,0.8532544011290638,0.0548536553989229,0,VADZAIH_AII_GEEHEE_GWIZHIN
70016,99733,0.012546114766745048,0.013400373140318935,0.025946487907063984,0.8371363233277547,0.022079010379675204,0,VADZAIH_AII_GEEHEE_GWIZHIN
70017,99733,0.012444329624233506,0.013497820021752515,0.02594214964598602,0.8210255111239707,0.010891715304433855,0,VADZAIH_AII_GEEHEE_GWIZHIN
70020,99733,0,0,0.2,0.6210255111239706,0,4,MUTUAL_SHIH_GIFT_TO_88122
